Date,Power_kW,temp_C,HR,solarRad_W/m2,Power-1,Hour,HDH
2018-02-16 06:00:00,47.1179955,10.075000000000001,89.02499999999999,1.3434999999999997,40.6919105,6,0.0
2018-02-16 07:00:00,84.5802575,9.606666666666666,89.56666666666666,15.3365,47.1179955,7,0.0
2018-02-16 08:00:00,105.668348,9.916666666666666,86.66666666666667,130.24166666666667,84.5802575,8,0.0
2018-02-16 09:00:00,119.34426299999998,10.660833333333334,83.25,257.0416666666667,105.668348,9,0.0
2018-02-16 10:00:00,205.62139150000002,10.76,82.36666666666666,455.8416666666667,119.34426299999998,10,0.0
2018-02-19 15:00:00,241.69792650000002,15.919166666666664,34.62,312.8833333333333,0.0,15,0.0
2018-02-19 16:00:00,195.10345700000002,14.987500000000002,39.89583333333333,141.9333333333333,241.69792650000002,16,0.0
2018-02-19 17:00:00,167.7147005,13.671666666666667,48.473333333333336,59.43583333333333,195.10345700000002,17,0.0
2018-02-19 18:00:00,157.64359850000002,12.300000000000002,54.88083333333333,3.6526666666666663,167.7147005,18,0.0
2018-02-19 19:00:00,114.408348,11.683333333333335,58.45583333333334,1.0015833333333335,157.64359850000002,19,0.0
2018-02-19 20:00:00,90.833072,11.344166666666666,64.60083333333334,1.10325,114.408348,20,0.0
2018-02-19 21:00:00,62.816128000000006,11.210833333333333,68.18583333333332,1.0964166666666668,90.833072,21,0.0
2018-02-19 22:00:00,49.8514305,11.209166666666668,69.57083333333334,1.0522500000000001,62.816128000000006,22,0.0
2018-02-19 23:00:00,48.272768,11.319166666666666,68.76333333333334,1.3039166666666668,49.8514305,23,0.0
2018-02-20 00:00:00,47.052445500000005,11.390833333333333,66.89666666666666,0.9554166666666668,48.272768,0,0.0
2018-02-20 01:00:00,44.227677500000006,11.565000000000003,63.35916666666666,1.2001666666666668,47.052445500000005,1,0.0
2018-02-20 02:00:00,43.824545,11.690833333333336,60.08833333333334,0.9900833333333333,44.227677500000006,2,0.0
2018-02-20 03:00:00,45.200002500000004,11.499166666666667,58.895833333333336,0.757,43.824545,3,0.0
2018-02-20 04:00:00,44.3299355,11.424166666666666,56.91083333333333,1.08,45.200002500000004,4,0.0
2018-02-20 05:00:00,52.5298035,11.2525,55.80249999999999,1.0986666666666667,44.3299355,5,0.0
2018-02-20 06:00:00,54.512035499999996,10.695833333333335,59.56333333333333,1.0385833333333334,52.5298035,6,0.0
2018-02-20 07:00:00,93.887702,10.633333333333335,61.68833333333333,22.317416666666663,54.512035499999996,7,0.0
2018-02-20 08:00:00,125.21186200000001,10.551666666666668,62.1825,167.60833333333332,93.887702,8,0.0
2018-02-20 09:00:00,144.129155,11.9325,53.500833333333325,343.3,125.21186200000001,9,0.0
2018-02-20 10:00:00,236.89442250000002,12.729999999999999,49.7175,496.60833333333335,144.129155,10,0.0
2018-02-20 11:00:00,221.2970185,13.834166666666667,48.2475,604.3916666666667,236.89442250000002,11,0.0
2018-02-20 12:00:00,231.48764,15.165,45.065,656.3916666666667,221.2970185,12,0.0
2018-02-20 13:00:00,224.86512349999998,16.828333333333333,34.805,651.7083333333334,231.48764,13,0.8283333333333331
2018-02-20 14:00:00,225.6163265,17.982727272727274,30.34272727272727,587.2909090909092,224.86512349999998,14,1.9827272727272742
2018-02-20 15:00:00,240.49115099999997,18.065384615384612,31.25230769230769,462.53846153846155,225.6163265,15,2.0653846153846125
2018-02-20 16:00:00,209.97369300000003,17.558333333333334,35.678333333333335,286.2666666666667,240.49115099999997,16,1.5583333333333336
2018-02-20 17:00:00,162.46064950000002,16.508333333333333,41.31333333333333,113.22166666666668,209.97369300000003,17,0.5083333333333329
2018-02-20 18:00:00,156.854595,14.898333333333335,49.70249999999999,6.164166666666667,162.46064950000002,18,0.0
2018-02-20 19:00:00,118.2969925,13.658333333333333,51.01333333333333,0.9113333333333333,156.854595,19,0.0
2018-02-20 20:00:00,90.6077985,13.479999999999999,48.748333333333335,0.9460833333333335,118.2969925,20,0.0
2018-02-20 21:00:00,65.6961765,13.305,47.97666666666666,0.9667499999999999,90.6077985,21,0.0
2018-02-20 22:00:00,52.201398,13.215833333333334,47.60916666666666,0.9324166666666667,65.6961765,22,0.0
2018-02-20 23:00:00,48.6767745,13.328333333333333,47.4375,1.05025,52.201398,23,0.0
2018-02-21 00:00:00,46.809255,13.384166666666667,46.75000000000001,0.8700000000000001,48.6767745,0,0.0
2018-02-21 01:00:00,45.734016499999996,13.500833333333333,42.817499999999995,1.0086666666666666,46.809255,1,0.0
2018-02-21 02:00:00,45.46985,13.25583333333333,40.30916666666666,0.7246666666666667,45.734016499999996,2,0.0
2018-02-21 03:00:00,46.2894435,12.895000000000001,40.1,0.7130833333333334,45.46985,3,0.0
2018-02-21 04:00:00,44.407066,12.238333333333335,42.436666666666675,0.6599999999999999,46.2894435,4,0.0
2018-02-21 05:00:00,52.165127000000005,11.80666666666667,44.063333333333325,0.92775,44.407066,5,0.0
2018-02-21 06:00:00,53.905260999999996,11.431666666666667,45.06166666666666,0.7060833333333333,52.165127000000005,6,0.0
2018-02-21 07:00:00,91.67145649999999,11.341666666666667,44.88333333333333,26.352333333333334,53.905260999999996,7,0.0
2018-02-21 08:00:00,124.55373999999999,12.12,43.028333333333336,182.91666666666666,91.67145649999999,8,0.0
2018-02-21 09:00:00,145.841321,12.5175,43.63750000000001,365.80833333333334,124.55373999999999,9,0.0
2018-02-21 10:00:00,236.18910449999998,13.332500000000001,42.094166666666666,523.8416666666667,145.841321,10,0.0
2018-02-21 11:00:00,229.685015,14.0,40.582499999999996,632.6833333333333,236.18910449999998,11,0.0
2018-02-21 12:00:00,228.34561000000002,15.203333333333335,31.192500000000006,687.0666666666666,229.685015,12,0.0
2018-02-21 13:00:00,222.82236699999999,15.4325,32.229166666666664,674.9083333333334,228.34561000000002,13,0.0
2018-02-21 14:00:00,239.8236335,16.49,27.4275,605.225,222.82236699999999,14,0.48999999999999844
2018-02-21 15:00:00,222.4179235,16.43583333333333,27.218333333333334,481.04166666666674,239.8236335,15,0.4358333333333313
2018-02-21 16:00:00,211.49095699999998,16.851666666666667,30.92,308.07500000000005,222.4179235,16,0.8516666666666666
2018-02-21 17:00:00,165.1023145,14.758333333333333,49.12583333333333,122.16583333333334,211.49095699999998,17,0.0
2018-02-21 18:00:00,159.546952,12.945,58.01583333333332,7.01025,165.1023145,18,0.0
2018-02-21 19:00:00,116.60558400000001,12.379166666666668,61.26333333333333,0.9784166666666668,159.546952,19,0.0
2018-02-21 20:00:00,86.120464,12.197499999999998,54.777499999999996,0.8192499999999999,116.60558400000001,20,0.0
2018-02-21 21:00:00,61.3563295,12.073333333333332,52.42916666666667,0.944,86.120464,21,0.0
2018-02-21 22:00:00,51.368039,12.179166666666667,49.087500000000006,0.8584166666666667,61.3563295,22,0.0
2018-02-21 23:00:00,47.203866,11.914166666666668,45.41333333333333,0.8216666666666667,51.368039,23,0.0
2018-02-22 00:00:00,46.73715,11.946666666666667,38.973333333333336,0.8977499999999999,47.203866,0,0.0
2018-02-22 01:00:00,45.4945405,11.254166666666665,38.643333333333324,0.6671666666666667,46.73715,1,0.0
2018-02-22 02:00:00,44.264385499999996,10.738333333333332,37.88333333333333,0.8493333333333332,45.4945405,2,0.0
2018-02-22 03:00:00,44.397889,10.094166666666668,40.15833333333334,0.8309166666666666,44.264385499999996,3,0.0
2018-02-22 04:00:00,44.285579999999996,9.008333333333333,44.219166666666666,0.6556666666666667,44.397889,4,0.0
2018-02-22 05:00:00,52.1168385,8.5425,44.041666666666664,0.64875,44.285579999999996,5,0.0
2018-02-22 06:00:00,53.13351899999999,8.039166666666667,44.24,0.6439999999999999,52.1168385,6,0.0
2018-02-22 07:00:00,97.681299,7.6191666666666675,45.656666666666666,28.215666666666664,53.13351899999999,7,0.0
2018-02-22 08:00:00,124.47508,7.716666666666668,44.356666666666676,186.6916666666667,97.681299,8,0.0
2018-02-22 09:00:00,148.157858,8.317499999999999,41.59416666666666,371.36666666666673,124.47508,9,0.0
2018-02-22 10:00:00,244.574916,9.153333333333332,41.93749999999999,529.9,148.157858,10,0.0
2018-02-22 11:00:00,230.368483,10.643333333333333,39.985833333333325,641.5749999999999,244.574916,11,0.0
2018-02-22 12:00:00,235.1022855,12.186666666666667,34.76083333333333,696.5749999999999,230.368483,12,0.0
2018-02-22 13:00:00,229.06578599999997,14.280833333333335,27.5675,688.475,235.1022855,13,0.0
2018-02-22 14:00:00,239.448469,14.932499999999997,23.89666666666666,618.0583333333333,229.06578599999997,14,0.0
2018-02-22 15:00:00,236.330911,14.768333333333333,23.351666666666663,485.76666666666665,239.448469,15,0.0
2018-02-22 16:00:00,214.5707145,14.965833333333334,23.966666666666665,310.5,236.330911,16,0.0
2018-02-22 17:00:00,164.998527,14.125833333333334,34.129999999999995,124.11166666666666,214.5707145,17,0.0
2018-02-22 18:00:00,158.4494265,12.635,39.943333333333335,7.50275,164.998527,18,0.0
2018-02-22 19:00:00,118.43923600000001,11.799999999999999,36.24333333333333,0.7961666666666668,158.4494265,19,0.0
2018-02-22 20:00:00,93.39126999999999,11.1875,32.428333333333335,0.7592500000000001,118.43923600000001,20,0.0
2018-02-22 21:00:00,64.43586850000001,10.676666666666668,34.15416666666667,0.7131666666666666,93.39126999999999,21,0.0
2018-02-22 22:00:00,49.482602500000006,10.318333333333333,38.85166666666667,0.6716666666666667,64.43586850000001,22,0.0
2018-02-22 23:00:00,49.471896,10.103333333333335,38.262499999999996,0.6740833333333333,49.482602500000006,23,0.0
2018-02-23 00:00:00,47.591048,10.094166666666665,36.0725,0.6855833333333333,49.471896,0,0.0
2018-02-23 01:00:00,45.1580505,10.034166666666668,35.60166666666667,0.6648333333333333,47.591048,1,0.0
2018-02-23 02:00:00,44.090678000000004,9.593333333333332,37.04583333333334,0.6395833333333333,45.1580505,2,0.0
2018-02-23 03:00:00,42.955352000000005,8.891666666666667,43.372499999999995,0.5679166666666666,44.090678000000004,3,0.0
2018-02-23 04:00:00,42.7965025,7.342833333333334,62.370000000000005,0.5956666666666667,42.955352000000005,4,0.0
2018-02-23 05:00:00,51.798921,6.003000000000001,63.395,0.6972499999999999,42.7965025,5,0.0
2018-02-23 06:00:00,52.093677500000005,5.60425,64.51249999999999,0.7944999999999999,51.798921,6,0.0
2018-02-23 07:00:00,94.100084,6.2781666666666665,54.74333333333333,29.18216666666666,52.093677500000005,7,0.0
2018-02-23 08:00:00,127.5159445,7.382249999999998,48.130833333333335,185.0666666666667,94.100084,8,0.0
2018-02-23 09:00:00,144.1359285,7.41,47.98333333333334,370.2916666666667,127.5159445,9,0.0
2018-02-23 10:00:00,232.06775750000003,8.549999999999999,44.035833333333336,527.8833333333333,144.1359285,10,0.0
2018-02-23 11:00:00,216.91937099999998,9.290000000000001,44.67333333333334,636.7416666666667,232.06775750000003,11,0.0
2018-02-23 12:00:00,223.466068,11.105833333333335,38.58416666666667,689.4166666666666,216.91937099999998,12,0.0
2018-02-23 13:00:00,232.59237599999997,12.494166666666667,31.152500000000003,681.8666666666667,223.466068,13,0.0
2018-02-23 14:00:00,225.897973,13.825000000000001,26.613333333333333,614.2916666666667,232.59237599999997,14,0.0
2018-02-23 15:00:00,226.19557000000003,14.934166666666664,24.86583333333333,489.47499999999997,225.897973,15,0.0
2018-02-23 16:00:00,207.756792,15.05916666666667,24.143333333333334,317.2333333333334,226.19557000000003,16,0.0
2018-02-23 17:00:00,165.380465,14.771666666666663,26.245,126.06999999999998,207.756792,17,0.0
2018-02-23 18:00:00,154.41154650000001,13.913333333333334,28.6775,7.419666666666667,165.380465,18,0.0
2018-02-23 19:00:00,109.95968799999999,12.304166666666665,40.502500000000005,0.7430833333333333,154.41154650000001,19,0.0
2018-02-23 20:00:00,88.94064350000001,11.678333333333333,42.635,0.6876666666666665,109.95968799999999,20,0.0
2018-02-23 21:00:00,63.211831499999995,11.8525,36.6225,0.7040000000000001,88.94064350000001,21,0.0
